日期: 2026-01-15 ,今开: 186.240, 今收: 186.790, 今天最高: 189.440, 今天最低: 186.070, 成交量: 206188642, 成交额: 38739187712.000, 振幅: 1.84,涨跌百分比开始值: 2.14, 涨跌百分比的结束值: 3.910, 换手率: 0.85
日期: 2026-06-22 ,今开: 211.440, 今收: 208.650, 今天最高: 213.990, 今天最低: 207.720, 成交量: 122041419, 成交额: 25620102144.000, 振幅: 2.98,涨跌百分比开始值: -0.97, 涨跌百分比的结束值: -2.040, 换手率: 0.50
日期: 2026-06-23 ,今开: 202.170, 今收: 200.040, 今天最高: 203.770, 今天最低: 200.000, 成交量: 153496196, 成交额: 30900027136.000, 振幅: 1.81,涨跌百分比开始值: -4.13, 涨跌百分比的结束值: -8.610, 换手率: 0.63
日期: 2026-06-24 ,今开: 200.120, 今收: 199.000, 今天最高: 201.670, 今天最低: 196.580, 成交量: 151810704, 成交额: 30230263040.000, 振幅: 2.54,涨跌百分比开始值: -0.52, 涨跌百分比的结束值: -1.040, 换手率: 0.63
日期: 2026-06-25 ,今开: 200.080, 今收: 195.740, 今天最高: 200.800, 今天最低: 192.130, 成交量: 150205647, 成交额: 29368587008.000, 振幅: 4.36,涨跌百分比开始值: -1.64, 涨跌百分比的结束值: -3.260, 换手率: 0.62
日期: 2026-06-26 ,今开: 193.120, 今收: 192.530, 今天最高: 195.550, 今天最低: 191.220, 成交量: 179304147, 成交额: 34654438144.000, 振幅: 2.21,涨跌百分比开始值: -1.64, 涨跌百分比的结束值: -3.210, 换手率: 0.74
日期: 2026-06-29 ,今开: 193.850, 今收: 194.970, 今天最高: 196.180, 今天最低: 189.800, 成交量: 148835724, 成交额: 28885409792.000, 振幅: 3.31,涨跌百分比开始值: 1.27, 涨跌百分比的结束值: 2.440, 换手率: 0.62
日期: 2026-06-30 ,今开: 197.240, 今收: 200.090, 今天最高: 200.630, 今天最低: 195.110, 成交量: 166476665, 成交额: 33116592896.000, 振幅: 2.83,涨跌百分比开始值: 2.63, 涨跌百分比的结束值: 5.120, 换手率: 0.69
日期: 2026-07-01 ,今开: 196.200, 今收: 197.580, 今天最高: 199.850, 今天最低: 193.450, 成交量: 146147597, 成交额: 28801708032.000, 振幅: 3.20,涨跌百分比开始值: -1.25, 涨跌百分比的结束值: -2.510, 换手率: 0.60
日期: 2026-07-02 ,今开: 197.140, 今收: 194.830, 今天最高: 200.055, 今天最低: 192.350, 成交量: 142385548, 成交额: 27778871808.000, 振幅: 3.90,涨跌百分比开始值: -1.39, 涨跌百分比的结束值: -2.750, 换手率: 0.59
日期: 2026-07-06 ,今开: 194.420, 今收: 195.550, 今天最高: 197.550, 今天最低: 193.990, 成交量: 108999015, 成交额: 21360884480.000, 振幅: 1.83,涨跌百分比开始值: 0.37, 涨跌百分比的结束值: 0.720, 换手率: 0.45
日期: 2026-07-07 ,今开: 192.370, 今收: 196.930, 今天最高: 198.410, 今天最低: 191.140, 成交量: 124154574, 成交额: 24222736384.000, 振幅: 3.72,涨跌百分比开始值: 0.71, 涨跌百分比的结束值: 1.380, 换手率: 0.51
日期: 2026-07-08 ,今开: 195.180, 今收: 204.120, 今天最高: 205.160, 今天最低: 195.060, 成交量: 147419133, 成交额: 29625609216.000, 振幅: 5.13,涨跌百分比开始值: 3.65, 涨跌百分比的结束值: 7.190, 换手率: 0.61
日期: 2026-07-09 ,今开: 204.460, 今收: 202.780, 今天最高: 204.585, 今天最低: 198.960, 成交量: 132037359, 成交额: 26717671168.000, 振幅: 2.76,涨跌百分比开始值: -0.66, 涨跌百分比的结束值: -1.340, 换手率: 0.55
